LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1700426645.716424,33949.000,2096,15,AZ,1,100,0.047
1700426645.716424,33949.000,2096,15,AZ,1,100,0.033
1700426645.716424,33949.000,2096,15,AZ,1,100,0.083
1700426645.716424,33949.000,2096,15,AZ,1,100,0.123
1700426645.716424,33949.000,2096,15,AZ,1,100,0.107
1700426645.716424,33949.000,2096,15,AZ,1,100,0.114
1700426645.716424,33949.000,2096,15,AZ,1,100,0.154
1700426645.716424,33949.000,2096,15,AZ,1,100,0.173
1700426645.716424,33949.000,2096,15,AZ,1,100,0.196
1700426645.716424,33949.000,2096,15,AZ,1,100,0.207
1700426645.716424,33949.000,2096,15,AZ,1,100,0.207
1700426645.716424,33949.000,2096,15,AZ,1,100,0.175
1700426645.716424,33949.000,2096,15,AZ,1,100,0.201
1700426645.716424,33949.000,2096,15,AZ,1,100,0.229
1700426645.716424,33949.000,2096,15,AZ,1,100,0.275
1700426645.757645,33988.333,2115,3,AZ,1,100,0.309
1700426645.798865,34027.667,2115,3,AZ,1,100,0.300
1700426645.840086,34067.000,2115,3,AZ,1,100,0.271
1700426645.876415,34101.667,2131,3,AZ,1,100,0.313
1700426645.912745,34136.333,2131,3,AZ,1,100,0.283
1700426645.949075,34171.000,2131,3,AZ,1,100,0.300
1700426645.988899,34209.000,2149,2,AZ,1,100,0.308
1700426646.028722,34247.000,2149,2,AZ,1,100,0.289
1700426646.070292,34286.667,2164,3,AZ,1,100,0.286
1700426646.111861,34326.333,2164,3,AZ,1,100,0.273
1700426646.153431,34366.000,2164,3,AZ,1,100,0.283
1700426646.193953,34404.667,2181,3,AZ,1,100,0.284
1700426646.234475,34443.333,2181,3,AZ,1,100,0.282
1700426646.274997,34482.000,2181,3,AZ,1,100,0.292
1700426646.315868,34521.000,2197,2,AZ,1,100,0.272
1700426646.356739,34560.000,2197,2,AZ,1,100,0.281
1700426646.397610,34599.000,2217,3,AZ,1,100,0.284
1700426646.438482,34638.000,2217,3,AZ,1,100,0.292
1700426646.479353,34677.000,2217,3,AZ,1,100,0.276
1700426646.520224,34716.000,2233,2,AZ,1,100,0.282
1700426646.561095,34755.000,2233,2,AZ,1,100,0.277
1700426646.601966,34794.000,2249,3,AZ,1,100,0.280
1700426646.642838,34833.000,2249,3,AZ,1,100,0.273
